label,ROI,func
1,lh_mFus,faces
2,lh_pFus,faces
3,lh_IOG,faces
4,lh_OTS,bodies
5,lh_ITG,bodies
6,lh_MTG,bodies
7,lh_LOS,bodies
8,lh_pOTS,characters
9,lh_IOS,haracters
10,lh_CoS,places
11,lh_hMT,motion
12,lh_v1d,retinotopic
13,lh_v2d,retinotopic
14,lh_v3d,retinotopic
15,lh_v1v,retinotopic
16,lh_v2v,retinotopic
17,lh_v3v,retinotopic
18,rh_mFus,faces
19,rh_pFus,faces
20,rh_IOG,faces
21,rh_OTS,bodies
22,rh_ITG,bodies
23,rh_MTG,bodies
24,rh_LOS,bodies
25,rh_CoS,places
26,rh_TOS,places
27,rh_hMT,motion
28,rh_v1d,retinotopic
29,rh_v2d,retinotopic
30,rh_v3d,retinotopic
31,rh_v1v,retinotopic
32,rh_v2v,retinotopic
33,rh_v3v,retinotopic